# Checkpoints probed for the implicit-forward-model decoding analysis.
# Columns: checkpoint_name <TAB> condition <TAB> env_class (env_class optional)
#
# Matched efference (RodentEncDecDelays) vs forward_model (RodentForwardModel)
# pairs across a delay sweep. All current_root, latent 32, identical hidden
# sizes, ~600M steps. delay_k / efference_length come from each config.json and
# are used to facet the figure; delay-0 is the (now matched) floor. Matched
# efference/forward_model pairs at every delay: 0, 5, 10, 20.
#
# name	condition	env_class
RodentEncDec_delay0_eff0-20260629-090548	efference	AbsoluteImitation
RodentEncDec_delay5_eff5-20260623-085807	efference	AbsoluteImitation
RodentEncDec_delay10_eff10-20260611-120848	efference	AbsoluteImitation
RodentEncDec_delay20_eff20-20260626-084448	efference	AbsoluteImitation
RodentForwardModel_delay0_eff0-20260619-032834	forward_model	AbsoluteImitation
RodentForwardModel_delay5_eff5-20260619-033243	forward_model	AbsoluteImitation
RodentForwardModel_delay10_eff10-20260619-033822	forward_model	AbsoluteImitation
RodentForwardModel_delay20_eff20-20260619-034701	forward_model	AbsoluteImitation
# pg_forward_model: same architecture, fm_loss_weight=0 & detach_prediction=False,
# so the PREDICTOR is trained by the policy gradient, not the self-supervised L2.
# (detach/loss affect only gradients, not the forward pass, so the standard
# builder records them correctly.) See analysis/forward-loss-vs-architecture.
RodentForwardModel_delay0_eff0_nodetach-20260630-083013	pg_forward_model	AbsoluteImitation
RodentForwardModel_delay5_eff5_nodetach-20260630-083050	pg_forward_model	AbsoluteImitation
RodentForwardModel_delay10_eff10_nodetach-20260630-083050	pg_forward_model	AbsoluteImitation
RodentForwardModel_delay20_eff20_nodetach-20260630-083014	pg_forward_model	AbsoluteImitation
